source_file,line_index,bengali,english
1951_1_258_266_b.txt,0,অর্জুন সিং ওরফে পুরান,Arjun Singh Purana
1951_1_258_266_b.txt,1,বনাম,vs.
1951_1_258_266_b.txt,2,কর্তার সিং এবং অন্যরা,Kartar Singh and others.
1951_1_258_266_b.txt,3,"[সাইয়িদ ফজল আলী, মুখার্জিয়া এবং চন্দ্রশেখর আইয়ার মহামান্য বিচারপতিদ্বয়।]","[Syed Fazal, Mr. Mukerjee and Mr. Chandrashekhar Aiyar, Hon. Justices.]"
1951_1_258_266_b.txt,4,"দেওয়ানী কার্যবিধির কোড, ১৯০৮, ০. XLI। r ২৭-অতিরিক্ত প্রমাণ-অনুচিত স্বীকারোক্তি-এই ধরনের প্রমাণের উপর ভিত্তি করে অনুসন্ধান- চূড়ান্ত কি না -নির্ধারিত হস্তক্ষেপ-পাঞ্জাব কাস্টম অ্যাক্ট (১৯২০ সালের II), ধারা. ৭-অ-পৈতৃক সম্পত্তির ক্ষমতার বিচ্ছিন্নতা প্রতিদ্বন্দ্বিতার জন্য মামলা-রক্ষণাবেক্ষণ।","Code of Civil Procedure, 1908, XXVI.27 - Additional evidence - Improper confession - Search based on such evidence - or not - Prescribed interference - Punjab Civil Liquors Act (II of 1920), XVI.7 - Separation of powers of non-personal property - suit for competition- Maintenance."
1951_1_258_266_b.txt,5,"আপীলে অতিরিক্ত সাক্ষ্য গ্রহণ ও স্বীকার করার বিচক্ষণতা কোনো স্বেচ্ছাচারী নয় বরং এটি সিভিল প্রসিডিউর কোডের O. XLI, r. ২৭,-এ উল্লেখিত সীমাবদ্ধতা দ্বারা পরিবেষ্টিত একটি বিচারসংক্রান্ত বিষয়, এবং যদি এই ধরনের প্রমাণের অভ্যর্থনা নিয়ন্ত্রণকারী নীতির বিপরীতে অতিরিক্ত প্রমাণ যোগ করার অনুমতি দেওয়া হয়, তবে এটি বিবেচনার অনুশীলনের ক্ষেত্রে অনুপযুক্ত হবে এবং রেকর্ডে আনা অতিরিক্ত প্রমাণগুলি উপেক্ষা করতে হবে এবং মামলাটি এমনভাবে সিদ্ধান্ত নেওয়া হবে যেন এটি অস্তিত্বহীন ছিল।","The discretion to accept and admit additional evidence on appeal is not an arbitrary one but a jurisdictional matter confined by the limitations referred to in O.X.LI, r.27, of the Code of Civil Procedure, and if additional evidence is permitted to be added contrary to the principle governing the reception of such evidence, it would be inappropriate in the exercise of the discretion and the additional evidence brought on record would have to be ignored and the case decided as if it were non-existent."
1951_1_258_266_b.txt,6,"আপীলে অতিরিক্ত সাক্ষ্য স্বীকার করার বৈধ উপলক্ষ হল সাক্ষ্য পরীক্ষা করার সময়  এতে কিছু অন্তর্নিহিত ত্রুটি বা ত্রুটি স্পষ্ট হয়ে যায়, যেখানে আদালতের বাইরে নতুন কিছু আবিষ্কার করা হয় না, নূতন প্রমাণ এবং তা অর্থপ্রকাশ করার জন্য আবেদন করা হয়। প্রকৃত পরীক্ষা হল আপিল আদালত তার কাছের","A valid occasion to admit additional evidence on appeal is when some inherent error or defect becomes apparent during the examination of the evidence, where nothing new is discovered outside the court, and new evidence is made to disclose it. The real test is that the appellate court is close to it."
1951_1_258_266_b.txt,7,"উপকরণগুলির উপর রায় ঘোষণা করতে সক্ষম কিনা, অতিরিক্ত প্রমাণগুলিকে বিবেচনায় না নিয়েচ যোগ করতে চাওয়া হয়েছে।",Whether it is competent to pronounce judgments on the materials is sought to be added without considering the additional evidence.
1951_1_258_266_b.txt,8,"কেসসউজি ইস্যুর বনাম জি আই পি রেলওয়ে (৩৪ এ আই ১১৫) এবং পারসতিম বনাম লাল মোহন (৫৮ আই, এ ২৫৪) উল্লেখ করেছেন।",See Case Suggest v. Great Britain (34 A.I. 115) and Psalm v. Lao Tzu (58 A.A.).
1951_1_258_266_b.txt,9,"যদিও সাধারনত সত্যের সন্ধান, যাই হোক না কেন, দ্বিতীয় আপীলে চ্যালেঞ্জ করা যায় না, এমন একটি অনুসন্ধান যা অতিরিক্ত প্রমাণের ভিত্তিতে এসেছে যা স্বীকার করা উচিত নয় এবং প্রকৃতির অন্তর্নিহিত এবং স্পষ্ট ত্রুটিগুলি বিবেচনা না করেই এই ধরনের প্রমাণ একটি অনুসন্ধান হিসাবে গ্রহণ করা যাবে না যা আপীলে চূড়ান্ত হয়।","Whereas in general a finding of fact, whatever it may be, cannot be challenged on a second appeal, a finding which has come on the basis of additional evidence which should not be admitted, and without considering the inherent and obvious defects of such evidence, such evidence cannot be accepted as a fact which is final on appeal."
1951_1_258_266_b.txt,10,১৯২০ সালের পাঞ্জাব আইন II ধারা ৭ এর অধীনে -অনুচ্ছেদে কেউ অ পৈত্রিক অস্থাবর সম্পত্তির হস্তান্তরকরনে প্রতিদ্বন্দ্বিতা করতে পারে না যে এই ধরনের বিচ্যুতি প্রথার পরিপন্থী।,"Punjab Act II of 1920, under Section 7 - Paragraph No one can contest the transfer of non-personal property on the ground that such a deviation is against custom."
1951_1_258_266_b.txt,11,"সিভিল আপিল এখতিয়ার ঃ আপীল (১৯৫০ সালের দেওয়ানী আপীল নং ৩১) - লাহোর হাইকোর্ট অফ জুডিকেচারের ২৮ ফেব্রুয়ারী, ১৯৪৬ তারিখের একটি রায় এবং ডিক্রির বিরুদ্ধে।১৯৪২ সালের নিয়মিত দ্বিতীয় আপীল নং 88৭।","Civil Appeal: Judgment (Civil Appeal No. 31 of 1950) - against a judgment and decree dated February 28, 1946 of the Lahore High Court of Judicature. Second Regular Appeal No. 887 of 1942."
1951_1_258_266_b.txt,12,"আপিলকারীর পক্ষে রাম লাল আনন্দ (হরবনস লাল মিত্তল, তার সাথে)।","Ram Lal Anand (Harbhajan Lal, son of him) for the appellant."
1951_1_258_266_b.txt,13,"উত্তরদাতাদের জন্য বকশী টেক চাঁদ (পি. এস. নিরাপদ, তার সাথে)।","Bin Laden (P. S. Naik, with him) for the respondent."
1951_1_258_266_b.txt,14,"১৯৫১ , ২ মার্চ। আদালতের রায় প্রদান করা হয়","1951, March 2. Judgment of the Court delivered."
1951_1_258_266_b.txt,15,"বিচারপতি চন্দ্রশেখরা আইয়ার.-বাদী, অর্জুন সিং ওরফে পুরান, অধস্তন বিচারক, জুলুন্দুরের আদালতে ইন্দর সিং, কর্তার সিং এবং অন্য পাঁচজনের বিরুদ্ধে একটি মামলা নিয়ে এসেছিলেন, এই ঘোষণার জন্য যে প্রথম আসামী দ্বারা উইল কার্যকর করা হবে , ইন্দর সিং, দ্বিতীয় বিবাদীর পক্ষে, ,কারতার সিং, প্রায় ১৪",".-Justice Chandrashekhar, alias Arjun Singh, king of Puran, subordinate judge, brought a case against Inder Singh, Kartar Singh and five others in the court of Judul, for the declaration that the will be executed by the first respondent, Inder, in favour of the second respondent, Kartar, in about fourteen days."
1951_1_258_266_b.txt,16,"বছর আগে বাদীর বিরুদ্ধে বাতিল এবং অকার্যকর ছিল, যিনি তার মৃত্যুর পর প্রথম বিবাদীর প্রত্যাবর্তনকারী উত্তরাধিকারী ছিলেন। অভিযোগপত্রে অভিযুক্ত যে কড্ডুওয়াল গ্রামে ৩৯৫ কানাল জমির অর্ধেক অংশ ছিল,  পাত্তার কালান গ্রামে ৮৩৭ কানল এবং ১১ মারলা জমির অর্ধেক অংশ এবং পরবর্তী গ্রামে চারটি বাড়ি ছিল । অভিযোগপত্রে বংশতালিকা সংযুক্ত করে পক্ষের মধ্যে সম্পর্ক দেখানো হয়ছে, বাদী সেহজা সিংকে তার ৪র্থ পূর্বপুরুষ বলে দাবি করেছেন। যোধা সিং এবং জয় সিংকে সেহজা সিং-এর ছেলে হিসেবে দেখানো হয়েছে। বিবাদী নং ১, ইন্দর সিং, যোধা সিং এর নাতি। এটি অভিযোগ করা হয় যে দলগুলি হল পৈতৃক সম্পত্তি এবং উত্তরাধিকারের  বিচ্যুতির ক্ষেত্রে প্রথাগত আইন দ্বারা নিয়ন্ত্রিত জাট কৃষিবিদ এবং এই আইনের অধীনে পুত্রহীন মালিক হিসাবে তার পৈতৃক সম্পত্তির বিষয়ে উইল করার যোগ্য নয়, যখন সেখানে ৫ম ডিগ্রী পর্যন্ত সাদৃশ্য থাকে এবং যেহেতু বাদপত্রে উল্লিখিত সমগ্র সম্পত্তি পৈতৃক ছিল, উইলটি তৈরি হয়েছিল প্রথম বিবাদী কর্তৃক দ্বিতীয় বিবাদীর পক্ষে যে দাবি করেছিল প্রথম বিবাদী কর্তৃক গৃহীত  তা অবৈধ এবং অকার্যকর ছিল। বাদীর জন্ম ২২শে জুলাই, ১৯১৯ সালে, এবং উইল করার সময় তিনি নাবালক ছিলেন, এবং তাই মামলাটি সময়ের মধ্যে ছিল।","Many years ago there was no law against the plaintiff, who was the returning heir of the first defendant after his death. The charge sheet alleged that Kadduwal had half of the 395 kanals of land, Pattar Kadwan had 837 kanals and half of the 11 million rajas of land and the latter had four houses. The chargesheet showed the relationship between the parties by attaching genealogies, the plaintiff claimed that Sehja Singh was his fourth ancestor. Jodha Singh and Jai Singh were shown as sons of Seja Singh. Defendant No. 1 (Inder Singh), is the grandson of Jodha Singh. It is alleged that the parties are Japanese farmers governed by customary law in the matter of alienation of ancestral property and inheritance and are not entitled to make a will in respect of his ancestral property as a sonless owner under this Act, when there is a similarity up to the 5th degree and since the entire property mentioned in the plaint was ancestral, the will was made by the first defendant on behalf of the second defendant claiming that the claim made by the First defendant was invalid and voidable. The plaintiff was born on December 22, 1919, and was a minor at the time of the making of the will, and therefore the suit was time-barred."
1951_1_258_266_b.txt,17,"মামলাটি প্রধানত দ্বিতীয় বিবাদী কর্তার সিং দ্বারা প্রতিদ্বন্দ্বিতা করা হয়েছিল, যিনি তার দত্তক গ্রহণ করেছিলেন এবং আবেদন করেছিলেন যে বাদীর ক্ষেত্রে সম্পত্তিগুলি মোটেই পৈতৃক নয়। বিবাদী ৩ থেকে ৭ জনকে এক পাশের অবস্থানে রাখা হয়।","The case was mainly contested by the second defendant, Kartar Singh, who had his adoption pending and pleaded that in the case of the plaintiff the properties were not ancestral at all. Defendants 3 to 7 are placed in a second position."
1951_1_258_266_b.txt,18,"বিচারে, স্বীকার করা হয় যে কদ্দুওয়ালে অবস্থিত জমিটি পৈতৃক বলে প্রমাণিত হয়নি। অধস্তন বিচারক বলেছিলেন যে এমনকি পাত্তার কালানের জমিটি বাদীর পক্ষে যোগ করা প্রমাণ দ্বারা পৈতৃক বলে দেখানো হয়নি, কারণ এটি পাওয়া গেছে যে সাধারণ পূর্বপুরুষ সেহজা সিং-এর কেবল যোধা সিং এবং জয় সিং নামে দুটি","At the trial, it was admitted that the land situated at Kadduwal was not found to be ancestral. The subordinate judge said that even the land at Pattar Kadwan was not shown to be ancestral by the evidence adduced in favour of the plaintiff, as it was found that the common ancestor of Sehja Singh had only two names, Jodha Singh and Jai Singh."
1951_1_258_266_b.txt,19,"পুত্রই ছিল না, কিন্তু পোহলো নামে একটি তৃতীয় পুত্র ছিল এবং শুধুমাত্র এই সত্য থেকে যে দুই পুত্র সমান ভাগে জমি ভোগ করেছে, কোন অনুমান করা যায় না যে সম্পত্তিটি পৈতৃক এবং সাধারণ পূর্বপুরুষের উত্তরাধিকার সূত্রে এসেছে, যখন তৃতীয় পুত্রের ভাগ সম্পর্কে কিছুই জানা যায়নি। তিনি দত্তক গ্রহণ এবং সীমাবদ্ধতার বিষয়ে বাদীর পক্ষে ফলাফলগুলি রেকর্ড করেছেন, তবে তিনি আরও বলেছিলেন যে বাদীর কোনও অবস্থান নেই সীমাবদ্ধতার সময় হিসাবে দত্তক নেওয়ার বৈধতা প্রতিদ্বন্দ্বিতা করার জন্য তার জন্মের আগে মেয়াদ শেষ হয়ে গিয়েছিল। ফলে মামলাটি খারিজ হয়ে যায়।","There was no son, but a third son, named Pohlo, and from the mere fact that the two sons enjoyed equal share of land, no inference can be drawn that the property was inherited by the paternal and common ancestor, while nothing is known about the third son's share. He reported the findings in favour of the plaintiff in the matter of adoption and limitations, but he also stated that the plaintiff had no standing to contest the validity of the adoption as at the time of the limitations had expired before his birth. The case was thus dismissed."
